ts	phase	decision	why	evidence	result
2026-08-30T11:29:37Z	frame	limited the required migration to the active new-topic path plus its live worker acceptance path	grilling, connector, and production are the authoritative pipeline; dormant market and refiner code do not block a new topic	docs/PIPELINE.md:3	predicate defined
2026-08-30T11:29:37Z	baseline	ran the full suite before changing code	needed a known-good baseline for the migration	pytest: 773 passed, 17 subtests passed in 22.56s	VERIFIED
2026-08-30T11:29:37Z	probe	verified Codex structured output on the installed CLI	output-schema and JSONL parsing are load-bearing adapter contracts	.audit/codex-probe-output.json; .audit/codex-verification.md	VERIFIED
2026-08-30T11:29:37Z	probe	selected automatic approval review for production MCP calls	approval_policy=never rejected MCP calls; --approve-for-me completed a real get_research_state call	Codex workspace transcript; .audit/codex-verification.md	VERIFIED for read tool
2026-08-30T11:42:06Z	design	selected Candidate A's neutral runtime boundary and grafted Candidate B's full usage counters	it removes active Claude coupling without a provider registry or compatibility shim	.audit/architect/synthesis.md	VERIFIED by gpt-5.4 cross-judge
2026-08-30T12:13:21Z	implement	replaced the active completion, production session, and bounded-worker boundaries with Codex	provider-neutral request and result types feed one Codex adapter that owns argv, auth, JSONL usage, schema output, and per-call MCP configuration	git diff; research_harness/agent_runtime.py; research_harness/adapters/codex_cli.py	IMPLEMENTED
2026-08-30T12:13:21Z	compatibility	isolated dormant market, refiner, lesson, and direct Claude clients under explicit legacy settings	the current new-thread path no longer consumes Claude models or budgets while historical code remains readable	active-path rg scan; settings.json	VERIFIED residuals are legacy-only
2026-08-30T12:13:21Z	verification	ran the repository Codex verification lever including login status and focused suites	the adapter, active agents, supervisor, worker gate, and ingest contracts need one repeatable check	scripts/verify_codex_adapter.sh	121 passed, 5 subtests; ChatGPT login VERIFIED
2026-08-30T12:13:21Z	probe	ran the live one-shot adapter probe through gpt-5.6-sol	a fake subprocess test cannot prove installed CLI auth, argument ordering, JSONL, and final message parsing	RESEARCH_HARNESS_VERIFY_CODEX_LIVE=1 bash scripts/verify_codex_adapter.sh	VERIFIED CODEX_ADAPTER_OK
2026-08-30T12:13:21Z	probe	ran a live output-schema completion through CodexCliAdapter.complete	the bounded worker depends on Codex enforcing the supplied worker result schema	.audit/codex-probe.schema.json; .audit/codex-verification.md	VERIFIED schema-constrained JSON and five usage counters
2026-08-30T12:13:21Z	probe	ran a live read-only repository MCP call through CodexCliAdapter.start_session	production must not depend on global MCP registration or ~/.claude.json	.audit/codex-verification.md	VERIFIED tool event and MCP_ADAPTER_OK
2026-08-30T12:13:21Z	verification	ran the full suite after final edits and checked diff whitespace	completion requires the final tree rather than an earlier transient state	pytest 758 passed, 17 subtests passed in 18.28s; git diff --check	VERIFIED
2026-08-30T12:21:00Z	review	accepted three findings from the independent gpt-5.4 audit	the codex_mcp model picker was hidden, legacy mcp skipped validation, and fixtures did not cover the migrated UI condition	accordion.html; settings_scoped.py; focused tests 106 passed, 2 subtests	FIXED
2026-08-30T12:21:00Z	verification	reran final full and focused verification after audit fixes	all claims must match the final working tree rather than the reviewed pre-fix tree	.audit/codex-verification.md	764 passed, 17 subtests; verification script 125 passed, 5 subtests; diff check clean
2026-08-30T12:21:00Z	audit	reviewed the fixed diff and decision trail with gpt-5.4	an independent model must verify both implementation claims and audit grounding after accepted fixes	focused 69 passed, 2 subtests; verification script 125 passed, 5 subtests; diff check clean	No flags
