ts	phase	decision	why	evidence	result
2026-08-31T03:04:04+09:00	frame	Treat a strong result as the only scientific terminal and make budget exhaustion a resumable search state.	The user rejected weak negative papers as the product; arbitrary research cannot guarantee success, so the scheduler must pause without laundering failure into a result.	docs/adr/0007-premature-termination-is-the-enemy.md	accepted
2026-08-31T03:04:04+09:00	baseline	Measure adaptive learning and duplicate work from the completed arXiv run before redesigning search.	A longer loop is not evidence of a better search policy; the trace must show that negative evidence creates new strategies.	scripts/evaluate_search_trace.py, .audit/strong-strategy-baseline.json	24 negative decisions; 0 follow-ups; 0 adaptive children; 79.1667% duplicate evidence
2026-08-31T03:04:04+09:00	ground	Classify the current production path as fixed batch evaluation rather than adaptive tree search.	Six connector roots each received three type-prefixed drafts, all 24 nodes were pruned, and no transition created an evidence-driven child.	runs/threads/thread_7f170f15/production/tree/search_state.json	confirmed
2026-08-31T03:06:36+09:00	frame	Set a high-rigor done predicate before choosing an implementation.	Termination semantics and search ownership have high blast radius; the predicate requires evidence-driven refill, deduplication, resumable pause, strong-only completion, and active-path verification.	.audit/strong-strategy-grounding.md	Phase A complete
2026-08-31T03:06:36+09:00	ground	Preserve the honesty gates but reject the active production controller as the implementation of ADR 0007.	The active MCP path drops negative branches, ignores learned priority, consults failure memory too late, and splits exhaustion across unrelated checks.	.audit/strong-strategy-grounding.md	architecture redesign required
2026-08-31T03:32:00+09:00	design	Use Candidate B as the migration base and graft Candidate A's content identities, transactions, and typed strong completion.	This minimizes active-MCP migration risk without retaining label-based identity, duplicate work, or weak terminal semantics.	.audit/strong-strategy-architecture/design.md	accepted
2026-08-31T03:32:00+09:00	design	Supersede ADR 0012's zero-survivor terminal rule.	Negative results must expand or pause; only a verified strong-result receipt completes the scientific program.	docs/adr/0013-adaptive-search-requires-strong-result.md	accepted
2026-08-31T04:10:00+09:00	implementation	Route active negative decisions through content-addressed strategy expansion.	A negative observation must alter the next work instead of ending in an empty needs_child_branch state.	tests/test_mcp_adaptive_search.py	9 focused adaptive tests passed
2026-08-31T04:10:00+09:00	verification	Replay one recorded arXiv negative result through the active MCP handlers.	The acceptance path must be the production controller, not a dormant AgentManager simulation.	.audit/strong-strategy-replay.json	1 observation created 2 distinct strategies and 2 adaptive children; evidence-linked selector chose the next node
2026-08-31T04:10:00+09:00	verification	Run adaptive, MCP, supervisor, gate, and tree-search regression tests.	Termination and search-policy changes have a wide blast radius.	pytest focused regression set	162 passed
2026-08-31T04:32:00+09:00	implementation	Do not dispatch strategies whose declared capabilities are absent.	A low capability-fit score is not enough: an impossible candidate must become an exact resumable pause rather than consume a worker.	tests/test_mcp_adaptive_search.py::test_unavailable_strategy_capability_pauses_without_dispatch	missing capability is persisted while queued candidates remain resumable
